gx_mean,gy_mean,gz_mean,ax_mean,ay_mean,az_mean,gx_std,gy_std,gz_std,ax_std,ay_std,az_std,gx_rmse,gy_rmse,gz_rmse,ax_rmse,ay_rmse,az_rmse,gx_max,gy_max,gz_max,ax_max,ay_max,az_max,gx_min,gy_min,gz_min,ax_min,ay_min,az_min,gx_fengdu,gy_fengdu,gz_fengdu,ax_fengdu,ay_fengdu,az_fengdu,gx_piandu,gy_piandu,gz_piandu,ax_piandu,ay_piandu,az_piandu,gx_gy_coor,gx_gz_corr,gy_gz_corr,ax_ay_corr,ax_az_corr,ay_az_corr,label
-0.431920571,2.43584345,0.144001524,0.653829576,0.348107322,1.251337489,0.256721324,0.277399206,0.26554548,0.203236041,0.258148857,0.321894706,0.499824953,2.450960143,0.297372267,0.683480656,0.430295139,1.290471645,-0.101939525,2.904075607,0.591967968,0.802881378,0.542687907,1.647030715,-0.732163291,2.183949086,-0.109765678,0.319795001,-0.113314802,0.850761825,1.362739292,2.154760219,2.44430661,6.614597003,2.851287528,1.379465313,0.157895761,0.805915593,0.844617773,-2.034816342,-1.191563794,-0.010293882,-0.70354604,-0.839586228,0.966396692,0.033067242,-0.10181722,-0.63957484,1
-0.578343551,2.891767761,0.334949089,0.096252935,0.16228958,1.346068534,0.181729632,0.307037221,0.129294931,0.494571011,0.235964881,0.083983031,0.605132957,2.907373688,0.35810527,0.494045638,0.282471513,1.3485813,-0.296988921,3.252862808,0.475155021,0.698468984,0.375804039,1.455428965,-0.785560132,2.468032493,0.133201609,-0.503917933,-0.204838631,1.254976826,3.026149307,2.035021687,2.629849703,1.354139539,1.695974075,1.342704806,0.8182868,-0.328997121,-0.716584233,0.01757515,-0.622963047,0.212658392,-0.859508855,-0.901495785,0.944400567,0.592658913,-0.011433232,0.605498075,1
-0.31391151,2.554484942,0.335549808,0.114266117,-0.050153213,1.472833631,0.12029042,0.406993716,0.218348645,0.56847963,0.197180778,0.110442287,0.335307963,2.585422876,0.397948187,0.568593943,0.199600585,1.476803475,-0.173119515,3.073099405,0.553854968,0.689557938,0.256069931,1.554920356,-0.481620495,2.069095807,0.043456927,-0.645780623,-0.245638585,1.278952261,1.528691996,1.451968508,1.335186902,1.350558532,1.825743185,2.414994539,-0.289757091,0.020499863,-0.325478672,-0.35481666,0.570484735,-1.019826345,-0.016417835,-0.164937522,0.972688716,0.292515311,-0.591646381,-0.867791365,1
-0.322959726,2.482925037,0.241274388,0.486481919,0.398978081,0.984269094,0.227258747,0.686926535,0.240080936,0.3548285,0.208803866,0.507870889,0.39228008,2.572529899,0.336966811,0.597939622,0.448373283,1.102905788,-0.031327091,3.300651585,0.561093601,0.703643747,0.619680358,1.758662362,-0.587484523,1.688579098,-0.010421766,-0.153466881,0.063478764,0.426087885,1.358967548,1.278249134,1.358258797,4.917327344,2.938482282,1.909105299,0.137560089,0.020929818,0.297143528,-1.815639192,-0.85548858,0.449236514,-0.749355771,-0.880951041,0.954071558,-0.402458543,-0.077974076,-0.811643886,1
-0.668148122,2.602989783,0.574669812,0.176616505,-0.024360523,1.175153162,0.108042302,0.425915192,0.110916453,0.476058772,0.464105903,0.550819212,0.67648217,2.636229013,0.584855327,0.498758525,0.455381108,1.293155322,-0.514794467,3.085612404,0.657797953,0.774980179,0.745248923,1.95477398,-0.794940923,1.996810368,0.385384493,-0.394120113,-0.423670736,0.626865337,1.559524024,1.759402783,5.795840376,1.402409059,2.069723615,1.481622341,0.333797262,-0.294784047,-1.912091743,0.054901686,0.817846228,0.457311486,-0.034660843,0.067622991,0.849343519,0.424605266,0.531939132,-0.519260085,1
-0.497354987,2.030960666,0.253080811,0.654574711,0.162282265,1.199324594,0.121578769,0.30399026,0.173325965,0.486474141,0.517813136,0.100122365,0.51142167,2.052684803,0.304778791,0.809727645,0.53267322,1.203329959,-0.34016128,2.461283074,0.482998216,0.962337527,0.842963647,1.37725727,-0.646886703,1.710020241,0.04733761,-0.22749451,-0.379338732,1.110708006,1.957010672,2.104351291,1.497304891,3.423959284,1.317036495,3.385260916,-0.114921508,0.514920807,0.114960583,-1.392533501,0.262982736,1.239151357,-0.637618434,-0.726641106,0.946881781,0.584594316,-0.938494259,-0.355787785,1
-0.524321982,2.300328351,0.433816791,0.183402825,0.320226819,1.091740467,0.243799611,0.299275982,0.230933156,0.510273883,0.212562743,0.30549908,0.576172076,2.31894243,0.489278986,0.532541881,0.381995836,1.132030806,-0.193024159,2.516410854,0.610841116,0.650092817,0.524967704,1.441065371,-0.833280282,1.761631563,0.01985543,-0.541468038,-0.00486635,0.730257374,1.713250645,4.170883896,2.641632573,1.440796621,1.853376755,1.232874936,0.06453513,-1.568193578,-1.136848099,-0.445101783,-0.619551037,-0.007777859,-0.790030176,-0.738250448,0.966118568,0.971111955,-0.950027587,-0.902961745,1
-0.412357399,1.920604563,0.319576978,0.40616793,0.061286052,1.523069912,0.148029381,0.587677181,0.224189317,0.311227329,0.151583117,0.251701176,0.437121052,2.00506154,0.387788423,0.507897962,0.160668366,1.542906769,-0.168543448,2.697035988,0.530032257,0.711566866,0.306850911,1.744044121,-0.579439439,1.264191275,-0.016155143,0.003987649,-0.084029119,1.097657495,2.372323233,1.37261403,1.574300402,1.271952951,2.11876427,2.374206846,0.635190829,0.134974457,-0.514653958,-0.312985111,0.734981855,-0.922904018,-0.286628405,-0.627500206,0.916414604,-0.232248196,-0.733144682,-0.38368788,1
-0.371342612,2.322243204,-0.018917104,0.647979307,0.231340373,0.766457242,0.240443443,0.51276451,0.315936022,0.328679562,0.243074218,0.355366829,0.439767965,2.37596798,0.310130301,0.723592583,0.332024157,0.841837789,-0.063568457,2.91550177,0.474703912,1.10304731,0.426053615,1.348900846,-0.648778716,1.73768683,-0.352562536,0.214461581,-0.190113184,0.456815205,1.346921781,1.212083855,1.842092949,1.897757706,2.764975514,2.87924827,0.14900002,0.032511832,0.494977275,0.096400105,-1.08917929,1.007176451,-0.721617762,-0.853525727,0.572465856,-0.891284298,-0.352214459,-0.084048888,1
-0.479962428,1.990429762,0.330772086,1.238893712,-0.150866512,0.877632018,0.119639145,0.077359074,0.068700643,0.620266009,0.245772282,0.47967837,0.494069749,1.991872407,0.337551714,1.379926938,0.284162908,0.995552934,-0.314845828,2.084538464,0.419758008,2.282443434,0.165945632,1.253219512,-0.599286745,1.887607188,0.242527527,0.70818609,-0.408136093,0.052909328,1.394962325,1.470956523,2.299253659,2.133136818,1.302750155,2.399158394,0.373023793,-0.048609807,-0.169183847,0.8598206,0.231289337,-0.9865118,0.297076148,0.245327077,-0.375000053,0.89726157,-0.988527482,-0.905273565,1
